#
# Sprite sheet data for MonoGame.
#
# To learn how to import these sprites into your MonoGame project visit:
# https://www.codeandweb.com/texturepacker/monogame
#
# Sprite sheet: suika_idle.png (1356 x 108)
# $TexturePacker:SmartUpdate:bf99f4dae3ce87873aec1d720903d521:24a06351015a91622530edaac6cafd60:1527f5574ddf4bb74325cca6a4388b6f$
#

suika_idle_000;0;225;1;63;102;256;256;0.3968253968253968;-0.2549019607843137
suika_idle_001;0;741;1;74;93;256;256;0.7567567567567568;-0.3763440860215054
suika_idle_002;0;969;1;79;89;256;256;0.759493670886076;-0.43820224719101125
suika_idle_003;0;1197;1;80;82;256;256;0.7;-0.5609756097560976
suika_idle_004;1;1279;1;74;82;256;256;0.7073170731707317;-0.7297297297297297
suika_idle_005;1;1129;1;66;84;256;256;0.7023809523809523;-0.9393939393939394
suika_idle_006;1;900;1;67;90;256;256;0.7222222222222222;-0.9104477611940298
suika_idle_007;1;370;1;73;99;256;256;0.7474747474747475;-0.7534246575342466
suika_idle_008;1;654;1;85;93;256;256;0.7204301075268817;-0.5058823529411764
suika_idle_009;0;513;1;76;98;256;256;0.6842105263157895;-0.30612244897959184
suika_idle_010;0;591;1;61;97;256;256;0.6721311475409836;-0.31958762886597936
suika_idle_011;0;445;1;66;99;256;256;0.36363636363636365;-0.29292929292929293
suika_idle_012;0;78;1;74;103;256;256;0.33783783783783783;-0.24271844660194175
suika_idle_013;0;290;1;78;100;256;256;0.3076923076923077;-0.28
suika_idle_014;0;1050;1;77;89;256;256;0.3246753246753247;-0.43820224719101125
suika_idle_015;0;817;1;81;92;256;256;0.38271604938271603;-0.391304347826087
suika_idle_016;0;1;1;75;103;256;256;0.41333333333333333;-0.24271844660194175
suika_idle_017;0;154;1;69;103;256;256;0.42028985507246375;-0.24271844660194175
